"regione";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"cognome";"nome";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"LIGURIA";"SAVONA";"SAVONA";"MAGLIOLO";962;495;474;246;14;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"MALLARE";1141;549;569;288;19;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"MASSIMINO";94;48;58;31;3;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"MILLESIMO";2545;1225;1755;878;46;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"MIOGLIA";639;317;262;136;7;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"MURIALDO";738;376;433;239;22;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"NASINO";243;131;91;55;7;"CASSIMATIS";"MARIKA";"2";;
"LIGURIA";"SAVONA";"SAVONA";"NOLI";2402;1182;1267;621;29;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"ONZO";185;81;128;63;3;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ORCO FEGLINO";1020;500;517;268;14;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ORTOVERO";1209;610;747;366;28;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"OSIGLIA";602;313;216;124;6;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"PALLARE";968;474;487;240;16;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"PIANA CRIXIA";782;383;366;194;14;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"PIETRA LIGURE";7450;3508;3971;1902;72;"CASSIMATIS";"MARIKA";"4";;
"LIGURIA";"SAVONA";"SAVONA";"PLODIO";551;278;367;183;7;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"PONTINVREA";871;453;437;228;8;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"QUILIANO";6563;3161;3752;1841;115;"CASSIMATIS";"MARIKA";"4";;
"LIGURIA";"SAVONA";"SAVONA";"RIALTO";680;333;263;145;6;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"ROCCAVIGNALE";877;423;443;220;22;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"SASSELLO";2151;1063;926;485;37;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"SAVONA";49941;23115;28015;13258;552;"CASSIMATIS";"MARIKA";"23";;
"LIGURIA";"SAVONA";"SAVONA";"SPOTORNO";3268;1566;1830;885;39;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"STELLA";2882;1456;1543;794;40;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"STELLANELLO";709;371;389;204;11;"CASSIMATIS";"MARIKA";"2";;
"LIGURIA";"SAVONA";"SAVONA";"TESTICO";139;74;88;49;2;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"GENOVA";"GENOVA";"VOBBIA";379;202;273;144;17;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"GENOVA";"GENOVA";"ZOAGLI";3713;1837;1464;724;36;"VISIGALLI";"DAVIDE";"5";"RICONQUISTARE L'ITALIA";5
"LIGURIA";"IMPERIA";"IMPERIA";"AIROLE";256;140;148;81;3;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"APRICALE";474;253;217;118;8;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"AQUILA D'ARROSCIA";171;91;123;67;8;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"ARMO";90;44;59;34;0;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"AURIGO";273;132;225;107;9;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"BADALUCCO";938;463;506;234;12;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"BAJARDO";285;149;147;85;4;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ALASSIO";9531;4433;4831;2256;81;"VISIGALLI";"DAVIDE";"3";;
"LIGURIA";"IMPERIA";"IMPERIA";"BORDIGHERA";9345;4407;4306;2026;84;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"BORGHETTO D'ARROSCIA";331;184;177;102;9;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"BORGOMARO";679;349;376;194;14;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CAMPOROSSO";4719;2337;2575;1293;44;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CARAVONICA";203;113;126;64;2;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CASTELLARO";1049;527;601;306;13;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CASTEL VITTORIO";280;149;131;72;2;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CERIANA";958;498;445;234;14;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CERVO";1056;502;528;256;13;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CESIO";218;119;138;80;1;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CHIUSANICO";539;276;306;166;7;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CHIUSAVECCHIA";352;178;200;94;6;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CIPRESSA";978;480;548;276;10;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"CIVEZZA";475;236;307;155;6;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"COSIO D'ARROSCIA";163;75;104;52;2;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"COSTARAINERA";655;328;369;189;7;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"DIANO ARENTINO";629;321;293;146;6;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ALBENGA";19204;9170;11013;5305;269;"VISIGALLI";"DAVIDE";"21";;
"LIGURIA";"SAVONA";"SAVONA";"ALBISSOLA MARINA";4903;2294;2989;1427;72;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"ALBISOLA SUPERIORE";8772;4084;4621;2225;99;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"SAVONA";"SAVONA";"ALTARE";1798;881;909;460;22;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"SAVONA";"SAVONA";"ANDORA";6405;3065;3749;1806;83;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"SAVONA";"SAVONA";"ARNASCO";495;260;278;154;10;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"BALESTRINO";623;305;291;140;7;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"BARDINETO";719;364;358;184;7;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"BERGEGGI";969;469;643;311;15;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"BOISSANO";2167;1068;1309;648;42;"VISIGALLI";"DAVIDE";"2";;
"LIGURIA";"SAVONA";"SAVONA";"BORGHETTO SANTO SPIRITO";3927;1839;1966;948;40;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"BORGIO VEREZZI";2087;972;1103;506;22;"VISIGALLI";"DAVIDE";"2";;
"LIGURIA";"SAVONA";"SAVONA";"BORMIDA";499;253;188;105;7;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"CAIRO MONTENOTTE";10881;5278;5951;2970;177;"VISIGALLI";"DAVIDE";"4";;
"LIGURIA";"SAVONA";"SAVONA";"CALICE LIGURE";1728;840;885;438;24;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"SAVONA";"SAVONA";"CALIZZANO";1459;720;725;353;31;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"SAVONA";"SAVONA";"CARCARE";4711;2198;2755;1310;96;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"SAVONA";"SAVONA";"CASANOVA LERRONE";570;284;301;156;14;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"DIANO CASTELLO";1856;909;896;436;25;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"DIANO MARINA";5193;2423;2566;1202;51;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"DIANO SAN PIETRO";903;459;487;243;15;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"DOLCEACQUA";1873;926;931;446;31;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"DOLCEDO";1052;541;533;286;9;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"IMPERIA";34256;16344;18338;8819;422;"VISIGALLI";"DAVIDE";"8";;
"LIGURIA";"IMPERIA";"IMPERIA";"ISOLABONA";596;313;298;148;10;"VISIGALLI";"DAVIDE";"2";;
"LIGURIA";"IMPERIA";"IMPERIA";"LUCINASCO";212;108;113;63;3;"VISIGALLI";"DAVIDE";"0";;
