"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"LOMBARDIA","LOMBARDIA - U02","MOVIMENTO 5 STELLE","TOMMASO LEONI"
"LOMBARDIA","LOMBARDIA - U02","ITALEXIT PER L'ITALIA","ROBERTO MAGGI"
"LOMBARDIA","LOMBARDIA - U02","AZIONE - ITALIA VIVA - CALENDA","GIUSEPPE CONTI"
"LOMBARDIA","LOMBARDIA - U02","UNIONE POPOLARE CON DE MAGISTRIS","PIERLUIGI TAVECCHIO"
"LOMBARDIA","LOMBARDIA - U02","VITA","MARZIA DEL PAPA"
"LOMBARDIA","LOMBARDIA - U06","+EUROPA","FEDERICA PERELLI"
"LOMBARDIA","LOMBARDIA - U06","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FEDERICA PERELLI"
"LOMBARDIA","LOMBARDIA - U06","ALLEANZA VERDI E SINISTRA","FEDERICA PERELLI"
"LOMBARDIA","LOMBARDIA - U06","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FEDERICA PERELLI"
"LOMBARDIA","LOMBARDIA - U06","MASTELLA NOI DI CENTRO EUROPEISTI","MARIA VIVOLO"
"LOMBARDIA","LOMBARDIA - U06","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","SILVIO BERLUSCONI"
"LOMBARDIA","LOMBARDIA - U06","LEGA PER SALVINI PREMIER","SILVIO BERLUSCONI"
"LOMBARDIA","LOMBARDIA - U06","FRATELLI D'ITALIA CON GIORGIA MELONI","SILVIO BERLUSCONI"
"LOMBARDIA","LOMBARDIA - U06","FORZA ITALIA","SILVIO BERLUSCONI"
"LOMBARDIA","LOMBARDIA - U06","ITALIA SOVRANA E POPOLARE","MARTINO PIROZZI"
"LOMBARDIA","LOMBARDIA - U06","MOVIMENTO 5 STELLE","BRUNO MARTON"
"LOMBARDIA","LOMBARDIA - U06","ITALEXIT PER L'ITALIA","FABIO MERONI"
"LOMBARDIA","LOMBARDIA - U06","AZIONE - ITALIA VIVA - CALENDA","FABIO GIOVANNI CARMELO ALBANESE"
"LOMBARDIA","LOMBARDIA - U06","UNIONE POPOLARE CON DE MAGISTRIS","ANITA GIURIATO"
"LOMBARDIA","LOMBARDIA - U06","VITA","CATERINA PAGLIARI"
"LOMBARDIA","LOMBARDIA - U03","+EUROPA","ANTONIO MISIANI"
"LOMBARDIA","LOMBARDIA - U03","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANTONIO MISIANI"
"LOMBARDIA","LOMBARDIA - U03","ALLEANZA VERDI E SINISTRA","ANTONIO MISIANI"
"LOMBARDIA","LOMBARDIA - U03","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANTONIO MISIANI"
"LOMBARDIA","LOMBARDIA - U03","MASTELLA NOI DI CENTRO EUROPEISTI","MASSIMO PICOZZI"
"LOMBARDIA","LOMBARDIA - U03","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARIA CRISTINA CANTU'"
"LOMBARDIA","LOMBARDIA - U03","LEGA PER SALVINI PREMIER","MARIA CRISTINA CANTU'"
"LOMBARDIA","LOMBARDIA - U03","FRATELLI D'ITALIA CON GIORGIA MELONI","MARIA CRISTINA CANTU'"
"LOMBARDIA","LOMBARDIA - U03","FORZA ITALIA","MARIA CRISTINA CANTU'"
"LOMBARDIA","LOMBARDIA - U03","ITALIA SOVRANA E POPOLARE","CLAUDIO SIGNORE"
"LOMBARDIA","LOMBARDIA - U03","MOVIMENTO 5 STELLE","EUGENIO CASALINO"
"LOMBARDIA","LOMBARDIA - U03","ITALEXIT PER L'ITALIA","GIANLUCA LUCIANO"
"LOMBARDIA","LOMBARDIA - U03","AZIONE - ITALIA VIVA - CALENDA","IVAN SCALFAROTTO"
"LOMBARDIA","LOMBARDIA - U03","UNIONE POPOLARE CON DE MAGISTRIS","ALESSANDRO  LANZANI"
"LOMBARDIA","LOMBARDIA - U03","VITA","GIANCARLO INCERRANO"
"LOMBARDIA","LOMBARDIA - U04","+EUROPA","EMANUELE FIANO"
"LOMBARDIA","LOMBARDIA - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","EMANUELE FIANO"
"LOMBARDIA","LOMBARDIA - U04","ALLEANZA VERDI E SINISTRA","EMANUELE FIANO"
"LOMBARDIA","LOMBARDIA - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","EMANUELE FIANO"
"LOMBARDIA","LOMBARDIA - U04","MASTELLA NOI DI CENTRO EUROPEISTI","MAURIZIO CORRENTI"
"LOMBARDIA","LOMBARDIA - U04","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ISABELLA RAUTI"
"LOMBARDIA","LOMBARDIA - U04","LEGA PER SALVINI PREMIER","ISABELLA RAUTI"
"LOMBARDIA","LOMBARDIA - U04","FRATELLI D'ITALIA CON GIORGIA MELONI","ISABELLA RAUTI"
"LOMBARDIA","LOMBARDIA - U04","FORZA ITALIA","ISABELLA RAUTI"
"LOMBARDIA","LOMBARDIA - U04","ITALIA SOVRANA E POPOLARE","ALBERTO VALLICELLI"
"LOMBARDIA","LOMBARDIA - U04","MOVIMENTO 5 STELLE","ELENA SIRONI"
"LOMBARDIA","LOMBARDIA - U04","ITALEXIT PER L'ITALIA","SAMANTHA MAZZA"
"LOMBARDIA","LOMBARDIA - U04","AZIONE - ITALIA VIVA - CALENDA","TIZIANA DEMMA"
"LOMBARDIA","LOMBARDIA - U04","UNIONE POPOLARE CON DE MAGISTRIS","NADIA ROSA"
"LOMBARDIA","LOMBARDIA - U04","VITA","GIANNI GEMMA"
"LOMBARDIA","LOMBARDIA - U05","+EUROPA","ADRIANA ALBINI"
"LOMBARDIA","LOMBARDIA - U05","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ADRIANA ALBINI"
"LOMBARDIA","LOMBARDIA - U05","ALLEANZA VERDI E SINISTRA","ADRIANA ALBINI"
"LOMBARDIA","LOMBARDIA - U05","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ADRIANA ALBINI"
"LOMBARDIA","LOMBARDIA - U05","MASTELLA NOI DI CENTRO EUROPEISTI","SAMANTHA DEPONTI"
"LOMBARDIA","LOMBARDIA - U05","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","IGNAZIO BENITO MARIA LA RUSSA"
"LOMBARDIA","LOMBARDIA - U05","LEGA PER SALVINI PREMIER","IGNAZIO BENITO MARIA LA RUSSA"
"LOMBARDIA","LOMBARDIA - U05","FRATELLI D'ITALIA CON GIORGIA MELONI","IGNAZIO BENITO MARIA LA RUSSA"
"LOMBARDIA","LOMBARDIA - U05","FORZA ITALIA","IGNAZIO BENITO MARIA LA RUSSA"
"LOMBARDIA","LOMBARDIA - U05","ITALIA SOVRANA E POPOLARE","ALDA MARINI"
"LOMBARDIA","LOMBARDIA - U05","MOVIMENTO 5 STELLE","PAOLA PIZZIGHINI"
"LOMBARDIA","LOMBARDIA - U05","ITALEXIT PER L'ITALIA","GIULIA GHETTI"
"LOMBARDIA","LOMBARDIA - U05","AZIONE - ITALIA VIVA - CALENDA","MARCO MALINVERNO"
"LOMBARDIA","LOMBARDIA - U05","UNIONE POPOLARE CON DE MAGISTRIS","SARA MARIA MASTRONICOLA"
"LOMBARDIA","LOMBARDIA - U05","VITA","GIUSEPPE MARZAGALLI"
"LOMBARDIA","LOMBARDIA - U10","+EUROPA","VALERIO FEDERICO"
"LOMBARDIA","LOMBARDIA - U10","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","VALERIO FEDERICO"
"LOMBARDIA","LOMBARDIA - U10","ALLEANZA VERDI E SINISTRA","VALERIO FEDERICO"
"LOMBARDIA","LOMBARDIA - U10","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","VALERIO FEDERICO"
"LOMBARDIA","LOMBARDIA - U10","MASTELLA NOI DI CENTRO EUROPEISTI","FABRIZIO CALEFFI"
"LOMBARDIA","LOMBARDIA - U10","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIAN MARCO CENTINAIO"
"LOMBARDIA","LOMBARDIA - U10","LEGA PER SALVINI PREMIER","GIAN MARCO CENTINAIO"
"LOMBARDIA","LOMBARDIA - U10","FRATELLI D'ITALIA CON GIORGIA MELONI","GIAN MARCO CENTINAIO"
"LOMBARDIA","LOMBARDIA - U10","FORZA ITALIA","GIAN MARCO CENTINAIO"
"LOMBARDIA","LOMBARDIA - U10","ITALIA SOVRANA E POPOLARE","BIANCA MARIA GIORLA"
"LOMBARDIA","LOMBARDIA - U10","MOVIMENTO 5 STELLE","SILVIA BALDINA"
"LOMBARDIA","LOMBARDIA - U10","ITALEXIT PER L'ITALIA","ELEONORA TEMPESTA"
"LOMBARDIA","LOMBARDIA - U10","AZIONE - ITALIA VIVA - CALENDA","FRANCESCA ZANCHI"
"LOMBARDIA","LOMBARDIA - U10","UNIONE POPOLARE CON DE MAGISTRIS","FRANCO ROSSI"
"LOMBARDIA","LOMBARDIA - U10","VITA","FULVIA PEZZINI"
"LOMBARDIA","LOMBARDIA - U07","+EUROPA","GIACOMO ANGELONI"
"LOMBARDIA","LOMBARDIA - U07","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GIACOMO ANGELONI"
"LOMBARDIA","LOMBARDIA - U07","ALLEANZA VERDI E SINISTRA","GIACOMO ANGELONI"
"LOMBARDIA","LOMBARDIA - U07","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GIACOMO ANGELONI"
"LOMBARDIA","LOMBARDIA - U07","MASTELLA NOI DI CENTRO EUROPEISTI","ELENA ZOPPI"
"LOMBARDIA","LOMBARDIA - U07","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","DAISY PIROVANO"
"LOMBARDIA","LOMBARDIA - U07","LEGA PER SALVINI PREMIER","DAISY PIROVANO"
"LOMBARDIA","LOMBARDIA - U07","FRATELLI D'ITALIA CON GIORGIA MELONI","DAISY PIROVANO"
"LOMBARDIA","LOMBARDIA - U07","FORZA ITALIA","DAISY PIROVANO"
"LOMBARDIA","LOMBARDIA - U07","ITALIA SOVRANA E POPOLARE","PAOLO BIANCHINI"
"LOMBARDIA","LOMBARDIA - U07","MOVIMENTO 5 STELLE","SABINA LUPO"
"LOMBARDIA","LOMBARDIA - U07","ITALEXIT PER L'ITALIA","LEONARDO BLASI"
"LOMBARDIA","LOMBARDIA - U07","AZIONE - ITALIA VIVA - CALENDA","ANDREA MOLTRASIO"
"LOMBARDIA","LOMBARDIA - U07","UNIONE POPOLARE CON DE MAGISTRIS","DARIO FRATUS DETTO DARIA"
"LOMBARDIA","LOMBARDIA - U07","VITA","SERENA FRANCESCA MURATORE"
"LOMBARDIA","LOMBARDIA - U08","+EUROPA","ROSA VITALE"
