"REGIONE";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"MOVIMENTO CINQUESTELLE";648,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"P.S.I.";5,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"EUROPA VERDE";9,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"BRUNI";"AMALIA CECILIA";2866,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";19,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"UNITI CON DE MAGISTRIS";44,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"PER LA CALABRIA CON DE MAGISTRIS";624,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"DEMA";172,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"DE MAGISTRIS PRESIDENTE";260,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"CALABRIA RESISTENTE E SOLIDALE";224,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"DE MAGISTRIS";"LUIGI";1691,00;"UN'ALTRA CALABRIA E' POSSIBILE";198,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"UNIONE DI CENTRO";154,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"FRATELLI D'ITALIA";442,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"FORZA ITALIA";1164,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"FORZA AZZURRI";510,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"LEGA SALVINI CALABRIA";755,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"CORAGGIO ITALIA";943,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OCCHIUTO";"ROBERTO";4068,00;"NOI CON L'ITALIA";62,00
"CALABRIA";"NORD";"COSENZA";"ACRI";20361,00;9903,00;9081,00;4562,00;98,00;"OLIVERIO";"GERARDO MARIO";133,00;"OLIVERIO PRESIDENTE";116,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"MOVIMENTO CINQUESTELLE";28,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"EUROPA VERDE";0,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";1,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"LA CALABRIA SICURA";1,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"TESORO CALABRIA";6,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"PARTITO DEMOCRATICO";516,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"BRUNI";"AMALIA CECILIA";559,00;"P.S.I.";3,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"PER LA CALABRIA CON DE MAGISTRIS";14,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"DE MAGISTRIS PRESIDENTE";26,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"UN'ALTRA CALABRIA E' POSSIBILE";6,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"DEMA";9,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"UNITI CON DE MAGISTRIS";10,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"DE MAGISTRIS";"LUIGI";88,00;"CALABRIA RESISTENTE E SOLIDALE";12,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"CORAGGIO ITALIA";16,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"UNIONE DI CENTRO";23,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"LEGA SALVINI CALABRIA";26,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"FRATELLI D'ITALIA";37,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"FORZA ITALIA";74,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"NOI CON L'ITALIA";3,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OCCHIUTO";"ROBERTO";192,00;"FORZA AZZURRI";11,00
"CALABRIA";"NORD";"COSENZA";"AIELLO CALABRO";2671,00;1358,00;893,00;472,00;12,00;"OLIVERIO";"GERARDO MARIO";4,00;"OLIVERIO PRESIDENTE";0,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";0,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"MOVIMENTO CINQUESTELLE";22,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"LA CALABRIA SICURA";12,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"P.S.I.";4,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"EUROPA VERDE";1,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"PARTITO DEMOCRATICO";25,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"BRUNI";"AMALIA CECILIA";71,00;"TESORO CALABRIA";4,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"DEMA";41,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"DE MAGISTRIS PRESIDENTE";40,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"PER LA CALABRIA CON DE MAGISTRIS";12,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"UN'ALTRA CALABRIA E' POSSIBILE";5,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"CALABRIA RESISTENTE E SOLIDALE";5,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"DE MAGISTRIS";"LUIGI";109,00;"UNITI CON DE MAGISTRIS";1,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"FRATELLI D'ITALIA";75,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"NOI CON L'ITALIA";7,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"CORAGGIO ITALIA";12,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"FORZA ITALIA";43,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"LEGA SALVINI CALABRIA";53,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"FORZA AZZURRI";6,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OCCHIUTO";"ROBERTO";240,00;"UNIONE DI CENTRO";44,00
"CALABRIA";"NORD";"COSENZA";"AIETA";1021,00;513,00;528,00;267,00;76,00;"OLIVERIO";"GERARDO MARIO";6,00;"OLIVERIO PRESIDENTE";6,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"P.S.I.";10,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"TESORO CALABRIA";31,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"MOVIMENTO CINQUESTELLE";47,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"PARTITO DEMOCRATICO";58,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"EUROPA VERDE";5,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";6,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"BRUNI";"AMALIA CECILIA";272,00;"LA CALABRIA SICURA";115,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"UNITI CON DE MAGISTRIS";0,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"DE MAGISTRIS PRESIDENTE";29,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"UN'ALTRA CALABRIA E' POSSIBILE";3,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"PER LA CALABRIA CON DE MAGISTRIS";12,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"DEMA";5,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"DE MAGISTRIS";"LUIGI";52,00;"CALABRIA RESISTENTE E SOLIDALE";3,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"OCCHIUTO";"ROBERTO";302,00;"NOI CON L'ITALIA";9,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"OCCHIUTO";"ROBERTO";302,00;"FORZA AZZURRI";26,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"OCCHIUTO";"ROBERTO";302,00;"FORZA ITALIA";108,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"OCCHIUTO";"ROBERTO";302,00;"FRATELLI D'ITALIA";39,00
"CALABRIA";"NORD";"COSENZA";"ALBIDONA";1667,00;824,00;881,00;440,00;215,00;"OCCHIUTO";"ROBERTO";302,00;"UNIONE DI CENTRO";52,00
